gen_vendor_normalized,total_entries,total_contracts,total_amendments
CANADIAN CORPS OF COMMISSIONAIRES,89,79,10
TELUS CANADA,30,29,1
SOFTCHOICE,27,26,1
AVI SPL CANADA,23,22,1
EXCEL HUMAN RESOURCES,19,11,8
ASOKAN BUSINESS INTERIORS,18,17,1
NISHA TECHONOLOGIES,17,16,1
RICOH,14,9,5
QMR,13,8,5
ALTIS HUMAN RESOURCES,10,4,6
CMG OFFICE INTERIORS,8,8,0
FREEBALANCE,8,7,1
NORTHERN MICRO,8,8,0
LANGUAGE RESEARCH DEVELOPMENT GROUP,7,4,3
LIONBRIDGE,7,5,2
ORACLE CANADA,6,6,0
DONNA CONA,6,4,2
TEKNION,6,6,0
CBCI TELECOM,6,5,1
TOTEM OFFISOURCE,6,6,0
ITEX,6,6,0
ROYAL REPORTING SERVICES,5,3,2
NATTIQ,5,4,1
ENTRUST,5,5,0
CALIAN,5,5,0
TR WESTCAN,5,4,1
THE RIGHT DOOR CONSULTING SOLUTIONS,5,4,1
KRUG,5,5,0
MAVERIN,5,2,3
COMPUCOM CANADA,5,5,0
SHRED IT,5,5,0
VMWARE,5,5,0
VISIONTEC 2008,5,4,1
JOHN MOORE CONTRUCTION MANAGEMENT,4,4,0
AUSPICE SAFETY,4,3,1
AVI SPL,4,4,0
JOHN MOORE CONSTRUCTION,4,3,1
CONEXSYS,4,3,1
BLACKBERRY,4,4,0
TERMINOTIX,4,2,2
LEO PISCES SERVICES GROUP,4,1,3
MOERAE SOLUTIONS MSICORP,4,4,0
GLOBAL FURNITURE GROUP,3,3,0
JOHN DOHERTY,3,3,0
ROBIN COOKSEY,3,3,0
AON REED STENHOUSE,3,3,0
INDICIUM LEGAL CONSULTING,3,2,1
OTTAWA BUSINESS INTERIORS,3,3,0
BORDEN LADNER GERVAIS,3,2,1
DELOITTE AND TOUCHE,3,2,1
PURELOGIC,3,3,0
IBM CANADA,3,3,0
PAYSTATION,3,3,0
ECLIPSYS SOLUTIONS,3,3,0
EDITH BROWN,3,3,0
TES CONTRACT SERVICES,3,3,0
PURESPIRIT SOLUTIONS,3,3,0
DIMENSIONAL TECHNOLOGIES,3,3,0
SAMSON ASSOCIATES,3,3,0
CDW CANADA,3,3,0
THE MASHA KRUPP TRANSLATION GROUP,3,1,2
WILLIAM S HEIN,3,2,1
FAST TRACK STAFFING,3,3,0
ADVANCED BUSINESS INTERIORS,3,3,0
ERGOCENTRIC SEATING SYSTEMS,3,3,0
360 ADVANCED SECURITY,3,3,0
DOUBLETREE BY HILTON HOTEL CONFERENCE CENTRE,3,2,1
CONOSCENTI TECHNOLOGIES,3,3,0
DARE HUMAN RESOURCES,3,3,0
THOMSON REUTERS CANADA,3,2,1
PORTAGE PERSONNEL,2,1,1
TENTHLINE,2,2,0
ADVANCED CHIPPEWA TECHNOLOGIES,2,2,0
LES TRADUCTIONS TESSIER SCC,2,2,0
PHILIPPE BRUNEEL,2,2,0
BOEYENS COMMUNICATIONS CONTRACTORS,2,2,0
GCSTRATEGIES,2,1,1
TJ5 TECHNOLOGIES,2,2,0
LEXUM,2,2,0
TOSHIBA CLIENT SOLUTIONS CANADA,2,2,0
LISA TIRADO,2,2,0
LMB INTERPRETATION SYSTEM,2,2,0
LMB INTERPRETATION SYSTEMS SERVICES,2,2,0
ANNE STREET,2,2,0
6578705 CANADA PR SERVICES,2,1,1
TURTLE ISLAND STAFFING,2,1,1
CANADA COUNCIL FOR THE ARTS,2,2,0
LUCIDEA SYDNEYPLUS INTERNATIONAL LIBRARY SYSTEMS,2,1,1
LYNNE WAGNER,2,1,1
DAVIES WARD PHILLIPS VINEBERG,2,2,0
MARTIN FELSKY,2,1,1
DELL COMPUTER,2,2,0
CANADIAN TAX FOUNDATION,2,2,0
MICHAEL GAIDA,2,2,0
HYPERTEC,2,2,0
VT CANADA LITIGATION SOLUTIONS,2,2,0
ARI FINANCIAL SERVICES,2,2,0
WAJAX POWER SYSTEMS,2,2,0
MISHKUMI TECHNOLOGIES,2,2,0
CARSWELL,2,2,0
MTG MANAGEMENT CONSULTANT,2,1,1
REDI ANALYSIS,2,2,0
RAYMOND CHABOT GRANT THORTON,2,2,0
RAYMOND CHABOT GRANT THORNTON,2,2,0
RIDEAU RECOGNITION,2,1,1
INTERSOL,2,2,0
EVALUATION PERSONNEL SELECTION INTERNATIONAL EPSI,2,1,1
INTERNATIONAL REPORTING,2,2,0
JOHN BOHDANOWICZ,2,2,0
OPTRICS,2,2,0
SAMSON ASSOCIATES CPA CONSULTING,2,2,0
COFORCE,2,2,0
ADT SECURITY SERVICES CANADA,2,2,0
FCA,2,2,0
PURESPIRIT,2,2,0
FCI,2,2,0
EMINENT SYSTEMS,2,2,0
BELL CANADA,2,2,0
PSPC CHRYSLER CANADA,2,2,0
FORESCOUT TECHNOLOGIES,2,2,0
ANDREW BALFOUR PHOTOGRAPHY,2,2,0
FRANK KURINA,2,2,0
STAPLES ADVANTAGE,2,2,0
INNOVATIVE BUSINESS INTERIORS,2,2,0
PROLOGUE CONSULTANTS AND ASSOCIATES,2,1,1
PROLOGIC SYSTEMS,2,1,1
STRATUM ASSOCIATES,2,2,0
WSPS,2,2,0
ANNE BRZUCHALSKI,2,2,0
SYNERGY DATA CENTRES,2,2,0
TAG HR,2,1,1
LEARNING TREE INTERNATIONAL,2,2,0
ACCURATE SHELVING,2,2,0
GARY WATSON CYCLING COURIER,2,2,0
LOUISE PILON,1,1,0
LUCIDEA TECHNOLOGIES,1,1,0
MAISON CORBEIL,1,1,0
MARK HANSON,1,1,0
MASHA KRUPP TRANSLATION GROUP,1,1,0
MAXSYS STAFFING AND CONSULTING,1,1,0
MAXSYS STAFFING CONSULTING,1,1,0
MELTWATER NEWS CANADA,1,1,0
MERIAH JO BRECKENRIDGE,1,1,0
MICHEL BASTARACHE LAW,1,1,0
MICROSOFT CANADA,1,1,0
MR SECURITY,1,1,0
MURRAY D SEGAL PROFESSIONAL,1,1,0
MYTHICSOFT,1,1,0
MYTY LITE,1,1,0
NEESONS,1,1,0
NITAM SOLUTIONS,1,1,0
NOTHERN MICRO,1,1,0
NUA OFFICE,1,1,0
OPEN STORAGE SOLUTIONS,1,1,0
ORBIS RISK CONSULTING,1,1,0
OSLER HOSKINS AND HARCOURT,1,1,0
OTTAWA HORTICULTURAL SERVICES,1,1,0
PATRY PROFESSIONAL,1,1,0
PATTISON SIGN GROUP,1,1,0
PAUL ARISS,1,1,0
PROCUREMENT ALLIANCE OF CANADA,1,1,0
PROLOGUE CONSULTANTS ASSSOCIATES,1,1,0
PURE LOGIC,1,1,0
QUADBRIDGE,1,1,0
QUEENS UNIVERSITY,1,1,0
QUICK MESSENGER CHRISTPHER KERRIGAN,1,1,0
QUINTET CONSULTING,1,1,0
RAINMAKERS CONSULTING SERVICES,1,1,0
RAYMOND CHABOT GRANT THORNTON CONSULTING,1,1,0
RBH ACCESS TECHNOLOGIES,1,1,0
RC CONSTRUCTION CONTRACTING 1044030 ONTARIO,1,1,0
RESTORATION HARDWARE,1,1,0
RMS SOFTWARE,1,1,0
ROBERT DUSSAULT,1,1,0
RS CONTRUCTION AND CONTRACTING,1,1,0
SAGEDATA SOLUTIONS,1,1,0
SAMSON ASSOCIATED CPA CONSULTATION,1,1,0
SAMSON RH,1,1,0
SC 360,1,1,0
SECURE SOLUTION,1,1,0
SHARON BROWN,1,1,0
SHERATON HOTEL ST JOHNS NFLD,1,1,0
SIERRA SYSTEMS GROUP,1,1,0
SIMPLEX GRINNELL,1,1,0
SOFTSIM TECHNOLOGIES,1,1,0
SOFTWARE TOOL DIE,1,1,0
SOLARWINDS,1,1,0
SPANDINA SECURITY,1,1,0
SPIRIT STAFFING CONSULTING,1,1,0
SSC CISCO,1,1,0
STATE OF THE ART ACOUSTIK,1,1,0
STEPHAN COLWELL,1,1,0
STORMWIND,1,1,0
STORMWIND STUDIOS,1,1,0
SYMANTEC,1,1,0
SYNERGY DATA,1,1,0
TECNOLOGY INTEGRATION GROUP,1,1,0
TELECOM COMPUTER SERVICES,1,1,0
TETYANA SUKHOMLINOVA,1,1,0
THE DELTA HOTEL ST JOHNS NFLD,1,1,0
