gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
CANADIAN CORPS OF COMMISSIONAIRES,2014,11,11,0
CANADIAN CORPS OF COMMISSIONAIRES,2015,18,17,1
CANADIAN CORPS OF COMMISSIONAIRES,2016,25,20,5
CANADIAN CORPS OF COMMISSIONAIRES,2017,16,12,4
CANADIAN CORPS OF COMMISSIONAIRES,2018,23,20,3
CANADIAN CORPS OF COMMISSIONAIRES,2019,22,17,5
COFOMO,2014,27,27,0
COFOMO,2015,13,11,2
COFOMO,2016,16,9,7
COFOMO,2017,14,4,10
COFOMO,2018,13,4,9
COFOMO,2019,40,31,9
DELOITTE AND TOUCHE,2014,12,12,0
DELOITTE AND TOUCHE,2015,25,25,0
DELOITTE AND TOUCHE,2016,4,1,3
DELOITTE AND TOUCHE,2017,38,28,10
DELOITTE AND TOUCHE,2018,3,1,2
DELOITTE AND TOUCHE,2019,8,5,3
IBM CANADA,2015,14,14,0
IBM CANADA,2016,13,7,6
IBM CANADA,2017,14,8,6
IBM CANADA,2018,16,9,7
IBM CANADA,2019,10,5,5
NORTHERN MICRO,2014,6,6,0
NORTHERN MICRO,2015,6,6,0
NORTHERN MICRO,2016,18,18,0
NORTHERN MICRO,2017,24,23,1
NORTHERN MICRO,2018,14,14,0
NORTHERN MICRO,2019,11,10,1
RANDSTAD,2014,2,2,0
RANDSTAD,2015,3,3,0
RANDSTAD,2016,6,5,1
RANDSTAD,2017,41,26,15
RANDSTAD,2018,13,2,11
RANDSTAD,2019,8,5,3
RICOH,2014,3,3,0
RICOH,2015,13,13,0
RICOH,2016,18,17,1
RICOH,2017,25,21,4
RICOH,2018,38,33,5
RICOH,2019,78,55,23
SI SYSTEMS,2014,19,19,0
SI SYSTEMS,2015,8,8,0
SI SYSTEMS,2016,15,12,3
SI SYSTEMS,2017,19,8,11
SI SYSTEMS,2018,14,6,8
SI SYSTEMS,2019,9,3,6
TPG TECHNOLOGY CONSULTANTS,2014,8,8,0
TPG TECHNOLOGY CONSULTANTS,2015,6,5,1
TPG TECHNOLOGY CONSULTANTS,2016,8,5,3
TPG TECHNOLOGY CONSULTANTS,2017,39,22,17
TPG TECHNOLOGY CONSULTANTS,2018,24,6,18
TPG TECHNOLOGY CONSULTANTS,2019,10,6,4
VERITAAQ TECHNOLOGY HOUSE,2014,10,10,0
VERITAAQ TECHNOLOGY HOUSE,2015,22,22,0
VERITAAQ TECHNOLOGY HOUSE,2016,9,7,2
VERITAAQ TECHNOLOGY HOUSE,2017,48,32,16
VERITAAQ TECHNOLOGY HOUSE,2018,52,18,34
VERITAAQ TECHNOLOGY HOUSE,2019,15,10,5
