gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ALTIS HUMAN RESOURCES,2010,49,25,24
ALTIS HUMAN RESOURCES,2011,41,13,28
ALTIS HUMAN RESOURCES,2012,8,3,5
ALTIS HUMAN RESOURCES,2014,2,1,1
ALTIS HUMAN RESOURCES,2015,1,0,1
BAGG TECHNOLOGY RESOURCES,2010,31,13,18
BAGG TECHNOLOGY RESOURCES,2011,25,10,15
BELL CANADA,2013,1,1,0
BELL CANADA,2014,5,3,2
BELL CANADA,2015,2,1,1
BELL CANADA,2016,3,0,3
BELL CANADA,2017,1,0,1
BELL CANADA,2019,2,1,1
CANADIAN CORPS OF COMMISSIONAIRES,2011,2,1,1
CANADIAN CORPS OF COMMISSIONAIRES,2012,2,1,1
CANADIAN CORPS OF COMMISSIONAIRES,2013,2,1,1
CANADIAN CORPS OF COMMISSIONAIRES,2014,2,1,1
CANADIAN CORPS OF COMMISSIONAIRES,2015,2,1,1
CANADIAN CORPS OF COMMISSIONAIRES,2016,2,1,1
CANADIAN CORPS OF COMMISSIONAIRES,2018,2,1,1
CANADIAN CORPS OF COMMISSIONAIRES,2019,1,1,0
DELOITTE AND TOUCHE,2011,2,1,1
DELOITTE AND TOUCHE,2012,5,4,1
DELOITTE AND TOUCHE,2013,3,1,2
DELOITTE AND TOUCHE,2014,8,5,3
DELOITTE AND TOUCHE,2015,1,1,0
DELOITTE AND TOUCHE,2017,1,1,0
DELOITTE AND TOUCHE,2019,1,1,0
KEITH BAGG STAFFING RESOURCES,2010,65,30,35
LANGUAGE STUDIO THE,2011,2,1,1
LANGUAGE STUDIO THE,2013,2,0,2
LANGUAGE STUDIO THE,2016,5,2,3
LANGUAGE STUDIO THE,2017,1,1,0
LANGUAGE STUDIO THE,2018,4,3,1
LANGUAGE STUDIO THE,2019,3,3,0
MASHA KRUPP TRANSLATION GROUP,2010,1,1,0
MASHA KRUPP TRANSLATION GROUP,2011,9,4,5
MASHA KRUPP TRANSLATION GROUP,2012,7,3,4
MASHA KRUPP TRANSLATION GROUP,2013,6,3,3
MASHA KRUPP TRANSLATION GROUP,2014,8,4,4
MASHA KRUPP TRANSLATION GROUP,2015,8,3,5
MASHA KRUPP TRANSLATION GROUP,2016,5,3,2
MASHA KRUPP TRANSLATION GROUP,2017,6,2,4
MASHA KRUPP TRANSLATION GROUP,2018,3,2,1
MASHA KRUPP TRANSLATION GROUP,2019,1,1,0
POI BUSINESS INTERIORS,2010,5,4,1
POI BUSINESS INTERIORS,2012,9,5,4
POI BUSINESS INTERIORS,2013,12,6,6
POI BUSINESS INTERIORS,2014,2,1,1
POI BUSINESS INTERIORS,2015,4,2,2
POI BUSINESS INTERIORS,2016,1,1,0
POI BUSINESS INTERIORS,2017,1,1,0
STEELCASE CANADA,2010,4,2,2
STEELCASE CANADA,2012,16,8,8
