gen_vendor_normalized,total_entries,total_contracts,total_amendments
KONICA MINOLTA BUSINESS SOLUTIONS,62,30,32
COSSETTE COMMUNICATIONS,36,30,6
NORTHERN MICRO,35,35,0
ARTEMP PERSONNEL SERVICES,32,16,16
MICROSOFT CANADA,29,18,11
4 OFFICE AUTOMATION,28,18,10
SAS INSTITUTE,27,19,8
EXCEL HUMAN RESOURCES,25,14,11
KNOWLEDGE CIRCLE,22,14,8
CISTEL TECHNOLOGY,20,9,11
CONFERENCE BOARD OF CANADA,18,18,0
CANADA COUNCIL FOR THE ARTS,18,13,5
ADVANCED BUSINESS INTERIORS,17,14,3
ROGERS,17,8,9
EBSCO CANADA,16,7,9
XEROX,15,9,6
NRG RESEARCH GROUP,14,13,1
GLOBAL UPHOLSTERY,14,14,0
GRAYBRIDGE INTERNATIONAL CONSULTING,14,8,6
BELL CANADA,14,14,0
ANDREW KALOTAY ASSOCIATES,13,5,8
GEOLITHUM,13,10,3
ACTION PERSONNEL,13,9,4
HAVER ANALYTICS,13,4,9
HYPERTEC,13,13,0
APS ANTIAN PROFESSIONAL SERVICES,12,4,8
NATTIQ,12,5,7
TELUS CANADA,11,9,2
BLOOMBERG FINANCE,11,5,6
THE CANADIAN PRESS,11,6,5
CISION CANADA,10,7,3
ORANGUTECH,10,9,1
MEDIA Q,10,9,1
MAXSYS STAFFING CONSULTING,10,5,5
QUANTUM MANAGEMENT SERVICES,9,4,5
A NET SOLUTIONS,9,8,1
LOWE MARTIN COMPANY,9,8,1
THOMSON REUTERS,9,4,5
MAPLESOFT CONSULTING,9,5,4
NISHA TECHONOLOGIES,9,9,0
COMPUPHILE SYSTEMS,9,3,6
ALTIS HUMAN RESOURCES,9,3,6
HARRIS DECIMA,9,9,0
DYNAMIC PERSONNEL CONSULTANTS,9,4,5
SOLOTECH,9,3,6
MACROECONOMIC ADVISERS,8,2,6
CSDC SYSTEMS,8,6,2
GRAND TOY,8,8,0
BARBARA PERSONNEL,7,3,4
NEWBOOK PRODUCTIONS,7,7,0
IHS GLOBAL,7,4,3
LISA CORMIER ASSOCIATES,7,7,0
MICHAEL WAGER CONSULTING,7,2,5
KBSP CANADA,7,1,6
ELSEVIER,7,2,5
THE TRICO GROUP,6,5,1
DIANE BROUSSEAU ASSOCIATES,6,4,2
THE GLOBE AND MAIL,6,4,2
ADVANCED CHIPPEWA TECHNOLOGIES,6,6,0
PRINTERS PLUS,6,5,1
IPSOS REID,6,6,0
INSIGHT SOFTWARE CANADA,6,6,0
RAYMOND CHABOT GRANT THORNTON,6,3,3
EQUINOX LANGUAGE CENTRE,6,5,1
TAXANALYSTS,6,2,4
TELFER SCHOOL OF MANAGEMENT,6,4,2
DELOITTE AND TOUCHE,5,5,0
SI SYSTEMS,5,2,3
RL POLK CANADA,5,4,1
IHS AUTOMOTIVE,5,5,0
SOCIETE GAMMA,5,3,2
ACART COMMUNICATIONS,5,1,4
PERSONNEL OUTAOUAIS,5,1,4
RENOUF PUBLISHING COMPANY,5,5,0
KRUG,5,5,0
ENVIRONICS RESEARCH GROUP,5,5,0
KNOWLEDGE CIRCLE LEARNING SERVICES,5,5,0
DLS TECHNOLOGY,5,4,1
THE MASHA KRUPP TRANSLATION GROUP,5,1,4
ACL SERVICES,5,4,1
IBFD,5,5,0
CYGNOS,5,2,3
ABSOLUTE DATA DESTRUCTION,5,5,0
STROMA SERVICE CONSULTING,5,1,4
BDO CANADA,4,3,1
BURKE CADER MEDIA STRATEGIES,4,3,1
URBAN WORKPLACE,4,4,0
PROQUEST,4,4,0
ADRM TECHNOLOGY CONSULTING,4,2,2
FINANCIAL TIMES,4,4,0
ACOLE DE LANGUES DE LESTRIE,4,3,1
ERNST YOUNG,4,3,1
ERGO SAFETY,4,3,1
KPMG,4,4,0
LESLIE ANDERSON TRAINING CONSULTING,4,4,0
THE MATHWORKS,4,3,1
ISE,4,4,0
BPM GOVERNMENT IM IT CONSULTING,4,2,2
IHS GLOBAL CANADA,4,4,0
TALENTCOR,4,1,3
SYSTEMSCOPE,4,3,1
ST JOSEPH COMMUNICATIONS,4,4,0
STEPHEN RICHARDSON,4,4,0
QUINTET CONSULTING,3,3,0
QUORUS CONSULTING GROUP,3,3,0
1686741 ONTARIO,3,1,2
BCSG ENTERPRISES,3,3,0
PROCOM CONSULTANTS,3,1,2
PRECISION ERP,3,2,1
AVEPOINT CANADA,3,3,0
JACK MINTZ,3,3,0
AUTONOMY,3,3,0
PAUL DESMARAIS JR,3,3,0
GMARKETS,3,1,2
QMR,3,3,0
PAYSTATION,3,1,2
MICROMEDIA PROQUEST,3,3,0
MCKIM CRINGAN GEORGE,3,1,2
LNW CONSULTING,3,3,0
FUJITSU,3,2,1
KEVIN DANCEY,3,3,0
FINANCIAL TIMES BUSINESS,3,2,1
JAMESWDH SENS,3,3,0
DON WRIGHT,3,3,0
TOTEM OFFISOURCE,3,3,0
ANDREW OLAND,3,3,0
THOMSON CANADA,3,1,2
TITUS INTERNATIONAL,3,1,2
DGEN NETWORK,3,3,0
DENISE ELLIS,3,1,2
BRITTONS,3,2,1
INFO TECH RESEARCH GROUP,3,3,0
BOYDEN OTTAWA,3,3,0
TERAMACH TECHNOLOGIES,3,3,0
TELFER EXECUTIVE PROGRAMS,3,1,2
IBISKA TELECOM,3,3,0
SUZANNE NAULT,3,1,2
HARRINGTON STAFFING SERVICES,3,1,2
THE FINANCIAL TIMES,3,3,0
SEETO CHARLES,2,2,0
BESC OTTAWA,2,1,1
COMPUTER SCIENCES CANADA,2,1,1
SIRSIDYNIX,2,0,2
ROBERT WILDEBOER,2,2,0
COLLEEN JOHNSTON,2,2,0
ROBERT HALF CDA,2,1,1
RODNEY G MONETTE,2,1,1
COLLABORATIVE LEADERSHIP INSTITUTE,2,1,1
AGENCY59,2,1,1
CLA PERSONNEL,2,2,0
REUTERS CANADA,2,1,1
PRICEWATERHOUSE COOPERS,2,2,0
PRIVASOFT,2,1,1
CHRISTOPHER RAGAN,2,2,0
CHRISTOPHER C NICHOLLS,2,2,0
PETER GUSEN,2,2,0
PETER M BROWN,2,2,0
CES ALLIANCE,2,1,1
PARAMETRIC TECHNOLOGY,2,0,2
CDW CANADA,2,2,0
GOVERNMENT DISCOUNT TRAINING,2,1,1
GLENN REED INVESTMENTS,2,1,1
NIMBLE STRATEGIES,2,2,0
GILMORE REPRODUCTIONS,2,1,1
NANOS RESEARCH,2,2,0
CAROL ANNE HILTON,2,2,0
FRANCOIS LAFORTUNE,2,2,0
FOXWISE TECHNOLOGIES,2,2,0
MAXSYS STAFFING AND CONSULTING,2,1,1
MELTWATER NEWS CANADA,2,2,0
MARIE JOSACE MACTIVIER,2,2,0
LYNDA NAVEDA CONSULTING,2,2,0
MARK WISEMAN,2,2,0
FAST TRACK STAFFING,2,1,1
MARS DISCOVERY DISTRICT,2,2,0
MONIQUE JACRAME FORGET,2,2,0
CANADIAN GROUP EMERGENCY,2,2,0
LARRY F CHAPMAN,2,2,0
LANNICK CONTRACT SOLUTIONS,2,1,1
APPLE CANADA,2,2,0
LEGER MARKETING,2,1,1
CANADA UNPLUGGEDCOM,2,2,0
ELYSE ALLAN,2,2,0
LESLIE ANDERSON,2,1,1
2163928 ONTARIO,2,2,0
CARAHSOFT TECHNOLOGY,2,1,1
EDWARD ROGERS,2,2,0
ECOLE DE LANGUES ABCE,2,2,0
KIRSTEN THOMPSON,2,2,0
MICHAEL SABIA,2,2,0
CALIAN,2,2,0
EAGLE PROFESSIONAL RESOURCES,2,1,1
ANGELA STRANGE,2,2,0
KENNETH COURTIS,2,2,0
MR GEORGE FJ GOSBEE,2,2,0
DUNCAN N R JACKMAN,2,2,0
J A CREATIVE SERVICES,2,1,1
JANICE MACKINNON,2,2,0
JACQUES ST AMAND,2,2,0
DOMINIC BARTON,2,2,0
