gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ALTIS HUMAN RESOURCES,2010,39,32,7
ALTIS HUMAN RESOURCES,2011,17,16,1
ALTIS HUMAN RESOURCES,2012,30,20,10
ALTIS HUMAN RESOURCES,2013,27,19,8
ALTIS HUMAN RESOURCES,2014,33,22,11
ALTIS HUMAN RESOURCES,2015,21,13,8
ALTIS HUMAN RESOURCES,2016,24,15,9
ALTIS HUMAN RESOURCES,2017,33,26,7
ALTIS HUMAN RESOURCES,2018,39,29,10
ALTIS HUMAN RESOURCES,2019,36,20,16
BELL CANADA,2010,95,95,0
BELL CANADA,2011,80,76,4
BELL CANADA,2012,5,5,0
BELL CANADA,2013,4,2,2
BELL CANADA,2014,2,1,1
BELL CANADA,2015,1,0,1
BELL CANADA,2016,2,1,1
BELL CANADA,2017,5,3,2
BELL CANADA,2018,3,2,1
BELL CANADA,2019,2,2,0
CANADIAN CORPS OF COMMISSIONAIRES,2011,2,2,0
CANADIAN CORPS OF COMMISSIONAIRES,2012,8,8,0
CANADIAN CORPS OF COMMISSIONAIRES,2013,9,9,0
CANADIAN CORPS OF COMMISSIONAIRES,2014,21,17,4
CANADIAN CORPS OF COMMISSIONAIRES,2015,20,17,3
CANADIAN CORPS OF COMMISSIONAIRES,2016,26,19,7
CANADIAN CORPS OF COMMISSIONAIRES,2017,25,16,9
CANADIAN CORPS OF COMMISSIONAIRES,2018,26,16,10
CANADIAN CORPS OF COMMISSIONAIRES,2019,24,17,7
EXCEL HUMAN RESOURCES,2010,28,15,13
EXCEL HUMAN RESOURCES,2011,26,22,4
EXCEL HUMAN RESOURCES,2012,28,18,10
EXCEL HUMAN RESOURCES,2013,49,30,19
EXCEL HUMAN RESOURCES,2014,39,21,18
EXCEL HUMAN RESOURCES,2015,50,30,20
EXCEL HUMAN RESOURCES,2016,23,16,7
EXCEL HUMAN RESOURCES,2017,28,22,6
EXCEL HUMAN RESOURCES,2018,34,22,12
EXCEL HUMAN RESOURCES,2019,60,23,37
G4S SECURITY SERVICES,2011,2,1,1
G4S SECURITY SERVICES,2012,23,16,7
G4S SECURITY SERVICES,2013,12,7,5
G4S SECURITY SERVICES,2014,20,10,10
G4S SECURITY SERVICES,2015,29,13,16
G4S SECURITY SERVICES,2016,25,12,13
G4S SECURITY SERVICES,2017,24,8,16
G4S SECURITY SERVICES,2018,35,11,24
HONEYWELL,2013,12,12,0
HONEYWELL,2014,45,42,3
HONEYWELL,2015,51,40,11
HONEYWELL,2016,23,21,2
HONEYWELL,2017,19,18,1
HONEYWELL,2018,15,15,0
HONEYWELL,2019,19,17,2
OTTAWA BUSINESS INTERIORS OBI,2010,24,24,0
OTTAWA BUSINESS INTERIORS OBI,2011,24,24,0
OTTAWA BUSINESS INTERIORS OBI,2012,12,12,0
OTTAWA BUSINESS INTERIORS OBI,2013,11,8,3
OTTAWA BUSINESS INTERIORS OBI,2014,16,16,0
OTTAWA BUSINESS INTERIORS OBI,2015,21,18,3
OTTAWA BUSINESS INTERIORS OBI,2016,18,16,2
OTTAWA BUSINESS INTERIORS OBI,2017,31,25,6
OTTAWA BUSINESS INTERIORS OBI,2018,13,8,5
OTTAWA BUSINESS INTERIORS OBI,2019,26,25,1
PANALPINA,2010,37,11,26
PANALPINA,2011,23,11,12
PANALPINA,2012,40,24,16
PANALPINA,2013,38,37,1
PANALPINA,2014,38,33,5
PANALPINA,2015,49,49,0
PANALPINA,2016,41,40,1
PANALPINA,2017,52,44,8
PANALPINA,2018,31,9,22
PANALPINA,2019,37,37,0
PRINTERS PLUS,2010,28,26,2
PRINTERS PLUS,2011,16,16,0
PRINTERS PLUS,2012,22,20,2
PRINTERS PLUS,2013,20,20,0
PRINTERS PLUS,2014,36,35,1
PRINTERS PLUS,2015,35,35,0
PRINTERS PLUS,2016,24,24,0
PRINTERS PLUS,2017,19,19,0
PRINTERS PLUS,2018,11,10,1
PRINTERS PLUS,2019,9,9,0
SDV LOGISTICS CANADA,2010,36,36,0
SDV LOGISTICS CANADA,2011,58,57,1
SDV LOGISTICS CANADA,2012,31,28,3
SDV LOGISTICS CANADA,2013,24,22,2
SDV LOGISTICS CANADA,2014,30,30,0
SDV LOGISTICS CANADA,2015,17,17,0
