gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
CANADIAN CORPS OF COMMISSIONAIRES,2010,49,43,6
CANADIAN CORPS OF COMMISSIONAIRES,2011,53,51,2
CANADIAN CORPS OF COMMISSIONAIRES,2012,61,54,7
CANADIAN CORPS OF COMMISSIONAIRES,2013,53,51,2
CANADIAN CORPS OF COMMISSIONAIRES,2014,20,18,2
CANADIAN CORPS OF COMMISSIONAIRES,2015,21,19,2
CANADIAN CORPS OF COMMISSIONAIRES,2016,17,12,5
CANADIAN CORPS OF COMMISSIONAIRES,2017,24,21,3
CANADIAN CORPS OF COMMISSIONAIRES,2018,25,20,5
CANADIAN CORPS OF COMMISSIONAIRES,2019,34,16,18
CGI,2010,23,18,5
CGI,2011,21,8,13
CGI,2012,19,6,13
CGI,2013,26,9,17
CGI,2014,11,6,5
CGI,2015,22,18,4
CGI,2016,41,26,15
CGI,2017,27,13,14
CGI,2018,20,13,7
CGI,2019,15,10,5
CORADIX TECHNOLOGY CONSULTING,2011,3,3,0
CORADIX TECHNOLOGY CONSULTING,2012,13,10,3
CORADIX TECHNOLOGY CONSULTING,2013,35,17,18
CORADIX TECHNOLOGY CONSULTING,2014,25,15,10
CORADIX TECHNOLOGY CONSULTING,2015,31,16,15
CORADIX TECHNOLOGY CONSULTING,2016,22,16,6
CORADIX TECHNOLOGY CONSULTING,2017,31,16,15
CORADIX TECHNOLOGY CONSULTING,2018,26,15,11
CORADIX TECHNOLOGY CONSULTING,2019,40,23,17
DALIAN ENTERPRISES,2010,6,5,1
DALIAN ENTERPRISES,2011,5,2,3
DALIAN ENTERPRISES,2012,11,8,3
DALIAN ENTERPRISES,2013,26,19,7
DALIAN ENTERPRISES,2014,22,11,11
DALIAN ENTERPRISES,2015,39,28,11
DALIAN ENTERPRISES,2016,33,23,10
DALIAN ENTERPRISES,2017,30,12,18
DALIAN ENTERPRISES,2018,15,9,6
DALIAN ENTERPRISES,2019,26,13,13
EXCEL HUMAN RESOURCES,2010,10,8,2
EXCEL HUMAN RESOURCES,2011,2,2,0
EXCEL HUMAN RESOURCES,2012,61,47,14
EXCEL HUMAN RESOURCES,2013,86,47,39
EXCEL HUMAN RESOURCES,2014,64,30,34
EXCEL HUMAN RESOURCES,2015,60,37,23
EXCEL HUMAN RESOURCES,2016,41,32,9
EXCEL HUMAN RESOURCES,2017,71,23,48
EXCEL HUMAN RESOURCES,2018,22,14,8
EXCEL HUMAN RESOURCES,2019,32,16,16
MAPLESOFT CONSULTING,2010,4,3,1
MAPLESOFT CONSULTING,2011,3,2,1
MAPLESOFT CONSULTING,2012,8,7,1
MAPLESOFT CONSULTING,2013,14,7,7
MAPLESOFT CONSULTING,2014,34,22,12
MAPLESOFT CONSULTING,2015,39,26,13
MAPLESOFT CONSULTING,2016,37,22,15
MAPLESOFT CONSULTING,2017,36,17,19
MAPLESOFT CONSULTING,2018,28,16,12
MAPLESOFT CONSULTING,2019,38,16,22
MINDWIRE SYSTEMS,2010,51,38,13
MINDWIRE SYSTEMS,2011,37,10,27
MINDWIRE SYSTEMS,2012,51,8,43
MINDWIRE SYSTEMS,2013,38,9,29
MINDWIRE SYSTEMS,2014,5,2,3
MINDWIRE SYSTEMS,2015,24,21,3
MINDWIRE SYSTEMS,2016,34,28,6
MINDWIRE SYSTEMS,2017,62,38,24
MINDWIRE SYSTEMS,2018,129,71,58
MINDWIRE SYSTEMS,2019,182,80,102
MODIS CANADA,2010,2,2,0
MODIS CANADA,2011,2,1,1
MODIS CANADA,2012,4,4,0
MODIS CANADA,2013,5,5,0
MODIS CANADA,2014,1,0,1
MODIS CANADA,2015,4,4,0
MODIS CANADA,2016,14,12,2
MODIS CANADA,2017,26,8,18
MODIS CANADA,2018,51,38,13
MODIS CANADA,2019,64,31,33
RANDSTAD,2010,5,4,1
RANDSTAD,2011,2,1,1
RANDSTAD,2012,8,5,3
RANDSTAD,2013,12,10,2
RANDSTAD,2014,23,18,5
RANDSTAD,2015,24,20,4
RANDSTAD,2016,39,24,15
RANDSTAD,2017,31,16,15
RANDSTAD,2018,38,23,15
RANDSTAD,2019,49,25,24
VERITAAQ TECHNOLOGY HOUSE,2010,20,17,3
VERITAAQ TECHNOLOGY HOUSE,2011,11,1,10
VERITAAQ TECHNOLOGY HOUSE,2012,19,8,11
VERITAAQ TECHNOLOGY HOUSE,2013,12,7,5
VERITAAQ TECHNOLOGY HOUSE,2014,14,12,2
VERITAAQ TECHNOLOGY HOUSE,2015,25,19,6
VERITAAQ TECHNOLOGY HOUSE,2016,35,24,11
VERITAAQ TECHNOLOGY HOUSE,2017,29,23,6
VERITAAQ TECHNOLOGY HOUSE,2018,67,32,35
VERITAAQ TECHNOLOGY HOUSE,2019,83,40,43
