gen_vendor_normalized,total_entries,total_contracts,total_amendments
ONTARIO DENTAL ASSOCIATION,76,39,37
CALIAN,61,39,22
NISHA TECHONOLOGIES,33,33,0
KONICA MINOLTA BUSINESS EQUIPMENT,25,25,0
NORTHERN MICRO,22,22,0
QMR,21,18,3
IMPERIAL OIL,19,19,0
IDEXX LABORATORIES CANADA,16,16,0
IRON MOUNTAIN,15,12,3
COLLIERS PROJECT LEADERS,13,10,3
EXCEL HUMAN RESOURCES,12,10,2
DONNA CONA,11,10,1
SUBARU CANADA,10,9,1
ARTEMP PERSONNEL SERVICES,10,7,3
NUHMAYKOOS PIMETEH,9,4,5
ALTIS HUMAN RESOURCES,9,9,0
BELL CANADA,9,9,0
KONICA MINOLTA BUSINESS SOLUTIONS,8,8,0
HENRY SCHEIN CANADA,8,8,0
ALS CANADA,8,8,0
QUANTUM MANAGEMENT SERVICES,7,5,2
FORD MOTOR COMPANY,7,7,0
SINCLAIR DENTAL COMPANY,6,6,0
CARDINAL HEALTH CANADA,6,6,0
XEROX,6,6,0
THE RIGHT DOOR CONSULTING,6,6,0
PROLOGIC SYSTEMS,6,4,2
TRANSWEST AIR,6,6,0
WILSONS BUSINESS SOLUTIONS,5,5,0
CDW CANADA,5,5,0
CANON,5,5,0
AQUATIC LIFE,5,4,1
SAMSON ASSOCIATES,5,5,0
ABBOTT,5,3,2
BAYSHORE HEALTHCARE,5,4,1
RICOH,5,5,0
STRYKER CANADA,4,4,0
APPLIED ELECTONICS,4,4,0
THE STEVENS COMPANY,4,4,0
SKYCARE AIR AMBULANCE,4,4,0
TIREE,4,4,0
EBSCO CANADA,4,4,0
ASOKAN BUSINESS INTERIORS,4,4,0
BDO CANADA,4,4,0
IBM CANADA,4,4,0
ABBOTT LABORATORIES,4,4,0
LABOR TEK PERSONNEL SERVICES,4,3,1
JACKIE CHUN DENTAL DR,4,4,0
CORADIX TECHNOLOGY CONSULTING,4,3,1
AIRCO AIRCRAFT CHARTERS,4,4,0
PATHOGEN DETECTION SYSTEMS,4,4,0
ECOLE DE LANGUES ABCE,4,4,0
AFL CANADA,4,4,0
ADVANCED CHIPPEWA TECHNOLOGIES,4,4,0
EXCEL SANTE,4,4,0
FCA CANADA,4,4,0
ZOLL MEDICAL CANADA,3,3,0
TAG HR,3,2,1
TOROMONT CAT QUEBEC,3,3,0
STRATOS,3,3,0
STAPLES BUSINESS ADVANTAGE,3,3,0
THE RETIREMENT PLANNING INSTITUTE,3,2,1
TOSHIBA CLIENT SOLUTION CANADA LIMI,3,3,0
SINCLAIR DENTAL,3,3,0
BRONSON CONSULTING GROUP,3,3,0
SOFTCHOICE,3,3,0
POSTAGE BY PHONE,3,3,0
ORACLE CANADA,3,3,0
OPENTEXT,3,3,0
MYONG DOK YOM DR,3,3,0
PRIORITY MANAGEMENT,3,3,0
MINISTER OF FINANCE,3,3,0
COSSETTE COMMUNICATIONS,3,3,0
3261620 CANADA LEARN2LANG,3,1,2
MAXSYS STAFFING AND CONSULTING,3,1,2
MACPHERSON KENT,3,3,0
AVI SPL,3,3,0
HYPERTEC,3,3,0
ALBERTA HEALTH SERVICES,3,3,0
BEAUCHAMP SHANNON,3,3,0
DPRA CANADA BLUMETRIC,3,3,0
NEAR NORTH LABORATORIES,3,3,0
MASHA KRUPP TRANSLATION,3,3,0
GENERAL ELECTRIC CANADA,3,3,0
DYNAMIC PERSONNEL CONSULTANTS,3,2,1
PATRICIA BAXTER,3,3,0
PERIMETER AVIATION,3,3,0
FAST AIR,3,3,0
ESRI,3,3,0
EUROFINS ENVIRONMENT TESTING,3,2,1
JUDY ZETARUK DR,3,3,0
GRAND MEDICINE HEALTH SERVICE,3,2,1
PUBLIC HISTORY,3,3,0
WOOD CANADA,2,2,0
C ATTALLAHDR DENTAL,2,2,0
WOONHA KANG DENTAL,2,2,0
WAMPUM RECORDS AND CANADIAN,2,2,0
TYCO INTEGRATED FIRE,2,2,0
WALZ ROBINSON GROUP,2,2,0
WAMPUM RECORDS AND INDECS DATA,2,2,0
CAROLE LEBLANC,2,2,0
CARLOS QUINONEZ,2,2,0
ADGA GROUP,2,2,0
THG THE HISTORY GROUP,2,2,0
417 BUS LINE,2,1,1
THE VCAN GROUP,2,2,0
TRIPLE C ENTERPRISES,2,2,0
TARA GOMES,2,1,1
ANN DUGGAN,2,1,1
THE AIM GROUP,2,2,0
1007079 BC DOING BUSINESS A,2,2,0
ANISHINABE PRINTING,2,2,0
THE INSTITUTE FOR SAFE MEDICATION PRACTICES CANADA,2,2,0
ACKLANDS GRAINGER,2,2,0
STERICYCLE,2,2,0
SUNGHEE MOON,2,2,0
ACCREDITATION CANADA,2,2,0
SIEMENS,2,2,0
SNC LAVALIN,2,2,0
UNIVERSITY OF OTTAWA,2,2,0
SAMSON ASSOCIES CPA,2,2,0
CATALYST RESEARCH AND,2,1,1
RFP SOLUTIONS,2,2,0
CDCI RESEARCH,2,2,0
SANOFI PASTEUR,2,2,0
ARAMARK CANADA,2,2,0
QUINTET CONSULTING,2,2,0
RASHMIN BHAGVANBHAI CHAUDHARI,2,2,0
3D DATACOMM,2,2,0
RAYMOND CHABOT GRANT THORNTON,2,2,0
SENSORYBOUND COUNSELLING,2,2,0
PETER ZED,2,1,1
ACCESSDATA,2,2,0
PLEIAD CANADA,2,2,0
ORANGUTECH,2,2,0
DYNAMIC PERSONNEL,2,2,0
ONX ENTERPRISE SOLUTIONS,2,2,0
OPENFRAME TECHNOLOGIES,2,1,1
DR BRUCE VICTOR FREEMAN DENTISTRY,2,1,1
MNP,2,2,0
DOGYEONG LEE,2,2,0
ALLIANCE FRANCAISE DE MONCTON,2,2,0
MEREDITH BROWNLEE,2,1,1
MANPOWER CORE,2,1,1
LORETTA M MCCONNELL,2,2,0
LRO STAFFING,2,1,1
MICHAEL PERLEY DR,2,1,1
KUNAL MINHAS DR,2,1,1
DAVID HO DR,2,2,0
KPMG,2,2,0
KNOWLEDGE CIRCLE LEARNING,2,2,0
KAIROS COUNSELLING SERVICES,2,2,0
KAREN SEDOR DENTAL,2,2,0
KOUROSH BABAZADEH DR,2,2,0
LARSON COUNSELLING,2,2,0
CREATIVE COUNSELLING AND SUPPORT,2,2,0
JAMES DUNN,2,2,0
BAIAME TECHNOLOGY AND,2,1,1
JACK CARR,2,2,0
JAPAN BCG LABORATORY,2,2,0
CORPORATE FURNITURE GROUP,2,2,0
IRON MOUNTAIN CANADA,2,2,0
ISABELLA BOTHADR DENTAL,2,2,0
ISHMAEL BRUCEDR,2,2,0
JEFFREY BRESLER,2,2,0
KRUEGER DECOR,2,1,1
HILL KNOWLTON CANADA,2,2,0
HOWARD ZACHARIAS DR,2,1,1
HEEL YOUR SOLE FOOT CARE,2,2,0
COMPUCOM CANADA,2,2,0
HENRY REDHEAD DR,2,2,0
DEREK JAY JORGENSON DR,2,1,1
GRAND TOY,2,2,0
HBI OFFICE PLUS,2,2,0
INTEGRA NETWORKS,2,2,0
JOHN ARNOLD DR,2,2,0
FRANCOIS LAVOIE,2,2,0
AGFA HEALTHCARE T43512C,2,2,0
GARTNER,2,2,0
GENERAL MOTORS,2,2,0
ONCIDIUM AND BOWCURVE,2,2,0
CLARKE ALLAN,2,1,1
FIRST PEOPLES GROUP,2,1,1
FISHER SCIENTIFIC COMPANY,2,2,0
FERENCE COMPANY CONSULTING,2,2,0
FERNO CANADA,2,2,0
GOLD BUSINESS SOLUTIONS,2,2,0
CHRISTIE INNOMED,2,2,0
CHERYL CYR,2,2,0
BKH SOLUTIONS CONSULTING,2,2,0
FAST FORWARD FRENCH,2,2,0
1007079 BC DOING BUSINESS AS,2,2,0
CHARLES BELL REAL ESTATE APPRAISAL,2,2,0
ADVANCED BUSINESS INTERIORS,2,2,0
EPSI,2,2,0
RICHARD ZIER VOGEL DR,2,2,0
PROMAXIS,2,2,0
ENNS RON,2,2,0
CENTRE DE LANGUES INTERNATIONALES,1,1,0
AQUILA EDUCATION,1,1,0
