gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ALTIS HUMAN RESOURCES,2010,2,2,0
ALTIS HUMAN RESOURCES,2011,1,0,1
ALTIS HUMAN RESOURCES,2012,1,1,0
ALTIS HUMAN RESOURCES,2013,4,3,1
ALTIS HUMAN RESOURCES,2014,5,3,2
ALTIS HUMAN RESOURCES,2015,6,4,2
ALTIS HUMAN RESOURCES,2016,6,4,2
ALTIS HUMAN RESOURCES,2017,4,4,0
ALTIS HUMAN RESOURCES,2018,2,2,0
ALTIS HUMAN RESOURCES,2019,3,3,0
COFOMO,2012,3,3,0
COFOMO,2013,3,2,1
COFOMO,2014,8,7,1
COFOMO,2015,16,13,3
COFOMO,2016,20,12,8
COFOMO,2017,21,11,10
COFOMO,2018,14,1,13
COFOMO,2019,1,1,0
DELOITTE AND TOUCHE,2010,16,11,5
DELOITTE AND TOUCHE,2011,10,10,0
DELOITTE AND TOUCHE,2013,1,1,0
DELOITTE AND TOUCHE,2014,3,2,1
DELOITTE AND TOUCHE,2015,1,0,1
DELOITTE AND TOUCHE,2019,2,2,0
EXCEL HUMAN RESOURCES,2010,27,11,16
EXCEL HUMAN RESOURCES,2011,16,6,10
EXCEL HUMAN RESOURCES,2012,4,4,0
EXCEL HUMAN RESOURCES,2013,5,4,1
EXCEL HUMAN RESOURCES,2014,5,4,1
EXCEL HUMAN RESOURCES,2015,9,7,2
EXCEL HUMAN RESOURCES,2016,3,2,1
EXCEL HUMAN RESOURCES,2017,7,4,3
EXCEL HUMAN RESOURCES,2018,3,0,3
IBISKA TELECOM,2010,2,2,0
IBISKA TELECOM,2011,4,4,0
IBISKA TELECOM,2012,6,6,0
IBISKA TELECOM,2013,2,2,0
IBISKA TELECOM,2014,11,5,6
IBISKA TELECOM,2015,7,4,3
IBISKA TELECOM,2016,4,3,1
IBISKA TELECOM,2017,6,2,4
IBISKA TELECOM,2018,1,0,1
IBISKA TELECOM,2019,4,3,1
MAPLESOFT CONSULTING,2010,4,1,3
MAPLESOFT CONSULTING,2011,7,3,4
MAPLESOFT CONSULTING,2012,7,2,5
MAPLESOFT CONSULTING,2013,8,5,3
MAPLESOFT CONSULTING,2014,4,2,2
MAPLESOFT CONSULTING,2015,7,5,2
MAPLESOFT CONSULTING,2016,5,2,3
MAPLESOFT CONSULTING,2017,9,3,6
MAPLESOFT CONSULTING,2018,2,1,1
MAPLESOFT CONSULTING,2019,1,1,0
NORTHERN MICRO,2010,5,5,0
NORTHERN MICRO,2011,1,1,0
NORTHERN MICRO,2013,5,5,0
NORTHERN MICRO,2014,15,14,1
NORTHERN MICRO,2015,3,3,0
NORTHERN MICRO,2016,9,9,0
NORTHERN MICRO,2017,3,3,0
NORTHERN MICRO,2018,5,5,0
NORTHERN MICRO,2019,7,7,0
RAYMOND CHABOT GRANT THORNTON,2014,2,2,0
RAYMOND CHABOT GRANT THORNTON,2015,1,1,0
RAYMOND CHABOT GRANT THORNTON,2016,7,5,2
RAYMOND CHABOT GRANT THORNTON,2017,10,10,0
RAYMOND CHABOT GRANT THORNTON,2018,6,6,0
RAYMOND CHABOT GRANT THORNTON,2019,11,11,0
SAMSON ASSOCIATES,2010,6,6,0
SAMSON ASSOCIATES,2011,5,4,1
SAMSON ASSOCIATES,2012,3,1,2
SAMSON ASSOCIATES,2013,7,5,2
SAMSON ASSOCIATES,2014,5,5,0
SAMSON ASSOCIATES,2015,10,10,0
SAMSON ASSOCIATES,2016,4,4,0
SAMSON ASSOCIATES,2017,10,9,1
SAMSON ASSOCIATES,2018,2,2,0
SAMSON ASSOCIATES,2019,6,6,0
XEROX,2010,11,10,1
XEROX,2011,17,17,0
XEROX,2012,39,38,1
XEROX,2013,14,14,0
XEROX,2014,6,5,1
XEROX,2015,1,1,0
XEROX,2016,1,1,0
