gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
BELL CANADA,2012,124,69,55
BELL CANADA,2013,180,162,18
BELL CANADA,2014,114,88,26
BELL CANADA,2015,51,35,16
BELL CANADA,2016,112,72,40
BELL CANADA,2017,158,86,72
BELL CANADA,2018,115,66,49
BELL CANADA,2019,84,53,31
CBCI TELECOM,2012,62,32,30
CBCI TELECOM,2013,90,86,4
CBCI TELECOM,2014,52,47,5
CBCI TELECOM,2015,13,11,2
CBCI TELECOM,2016,20,20,0
CBCI TELECOM,2017,42,40,2
CBCI TELECOM,2018,77,66,11
CBCI TELECOM,2019,83,79,4
COMBAT NETWORKS,2012,28,16,12
COMBAT NETWORKS,2013,22,17,5
COMBAT NETWORKS,2014,21,17,4
COMBAT NETWORKS,2015,14,11,3
COMBAT NETWORKS,2016,62,50,12
COMBAT NETWORKS,2017,86,52,34
COMBAT NETWORKS,2018,75,49,26
COMBAT NETWORKS,2019,68,47,21
COMPUCOM CANADA,2012,148,84,64
COMPUCOM CANADA,2013,92,63,29
COMPUCOM CANADA,2014,39,34,5
COMPUCOM CANADA,2015,19,16,3
COMPUCOM CANADA,2016,29,27,2
COMPUCOM CANADA,2017,34,32,2
COMPUCOM CANADA,2018,20,16,4
COMPUCOM CANADA,2019,19,18,1
IBM CANADA,2011,1,1,0
IBM CANADA,2012,68,36,32
IBM CANADA,2013,72,61,11
IBM CANADA,2014,38,14,24
IBM CANADA,2015,21,12,9
IBM CANADA,2016,68,49,19
IBM CANADA,2017,74,53,21
IBM CANADA,2018,56,26,30
IBM CANADA,2019,55,42,13
ITEX,2012,81,47,34
ITEX,2013,34,29,5
ITEX,2014,31,29,2
ITEX,2015,3,3,0
ITEX,2016,52,49,3
ITEX,2017,76,72,4
ITEX,2018,54,51,3
ITEX,2019,79,75,4
NORTHERN MICRO,2012,76,42,34
NORTHERN MICRO,2013,48,42,6
NORTHERN MICRO,2014,40,36,4
NORTHERN MICRO,2015,11,10,1
NORTHERN MICRO,2016,74,73,1
NORTHERN MICRO,2017,101,98,3
NORTHERN MICRO,2018,64,60,4
NORTHERN MICRO,2019,73,73,0
STONEWORKS TECHNOLOGIES,2012,52,29,23
STONEWORKS TECHNOLOGIES,2013,34,32,2
STONEWORKS TECHNOLOGIES,2014,43,43,0
STONEWORKS TECHNOLOGIES,2015,13,12,1
STONEWORKS TECHNOLOGIES,2016,32,32,0
STONEWORKS TECHNOLOGIES,2017,82,81,1
STONEWORKS TECHNOLOGIES,2018,40,39,1
STONEWORKS TECHNOLOGIES,2019,72,72,0
TELUS CANADA,2011,2,2,0
TELUS CANADA,2012,155,83,72
TELUS CANADA,2013,151,132,19
TELUS CANADA,2014,59,41,18
TELUS CANADA,2015,22,12,10
TELUS CANADA,2016,61,53,8
TELUS CANADA,2017,93,69,24
TELUS CANADA,2018,53,31,22
TELUS CANADA,2019,56,39,17
TERAMACH TECHNOLOGIES,2012,155,84,71
TERAMACH TECHNOLOGIES,2013,130,113,17
TERAMACH TECHNOLOGIES,2014,84,77,7
TERAMACH TECHNOLOGIES,2015,15,14,1
TERAMACH TECHNOLOGIES,2016,105,99,6
TERAMACH TECHNOLOGIES,2017,125,118,7
TERAMACH TECHNOLOGIES,2018,99,96,3
TERAMACH TECHNOLOGIES,2019,143,132,11
