owner_acronym,source_year,total_entries,total_contracts,total_amendments
agr,2013,5,3,2
agr,2014,5,0,5
agr,2015,8,4,4
agr,2016,30,17,13
agr,2017,28,8,20
agr,2018,2,1,1
cas,2019,1,1,0
cbsa,2014,1,1,0
cbsa,2015,1,1,0
cbsa,2016,1,0,1
cbsa,2018,1,1,0
cer,2016,1,1,0
cra,2011,2,1,1
cra,2012,1,1,0
csa,2010,2,2,0
csa,2011,4,4,0
csa,2012,1,1,0
csa,2013,3,3,0
csa,2014,9,9,0
csa,2015,1,1,0
csa,2016,4,3,1
csa,2017,4,1,3
csa,2018,4,2,2
csa,2019,3,1,2
csc,2011,3,1,2
csc,2016,1,1,0
csc,2017,1,0,1
csc,2018,1,1,0
csc,2019,2,1,1
dnd,2010,25,12,13
dnd,2011,26,13,13
dnd,2012,21,10,11
dnd,2013,24,11,13
dnd,2014,28,16,12
dnd,2015,15,9,6
dnd,2016,16,6,10
dnd,2017,15,9,6
dnd,2018,14,8,6
dnd,2019,9,4,5
ec,2013,4,1,3
ec,2019,2,2,0
esdc,2017,3,2,1
gac,2017,1,1,0
gac,2018,1,1,0
hc,2012,2,2,0
hc,2013,1,0,1
hc,2014,1,1,0
hc,2015,1,0,1
ic,2016,2,2,0
ic,2017,3,1,2
ic,2018,3,1,2
ic,2019,2,0,2
inac,2013,2,2,0
inac,2014,18,18,0
inac,2015,2,1,1
inac,2016,3,3,0
inac,2017,2,2,0
inac,2018,2,2,0
inac,2019,1,1,0
ircc,2018,3,3,0
ircc,2019,7,6,1
isc,2018,1,1,0
isc,2019,1,1,0
nrc,2013,1,1,0
nrc,2014,2,2,0
nrc,2015,3,3,0
nrcan,2017,3,3,0
nrcan,2019,1,0,1
ocol,2017,1,1,0
ocol,2019,2,0,2
osfi,2019,1,1,0
pco,2017,1,1,0
phac,2012,2,2,0
phac,2013,1,0,1
phac,2014,1,1,0
phac,2015,1,0,1
ps,2016,1,1,0
ps,2019,2,1,1
pspc,2010,2,2,0
pspc,2011,3,1,2
pspc,2012,1,0,1
pspc,2013,1,0,1
pspc,2014,1,0,1
pspc,2015,1,0,1
pspc,2016,1,0,1
pspc,2017,1,1,0
pspc,2018,1,1,0
pspc,2019,1,0,1
rcmp,2010,54,22,32
rcmp,2011,56,18,38
rcmp,2012,84,31,53
rcmp,2013,93,46,47
rcmp,2014,97,32,65
rcmp,2015,38,10,28
rcmp,2016,1,0,1
rcmp,2018,2,1,1
rcmp,2019,1,0,1
sirc,2016,1,1,0
ssc,2013,1,1,0
ssc,2017,1,1,0
ssc,2018,2,1,1
tbs,2015,1,1,0
tc,2011,1,1,0
tc,2016,3,2,1
tc,2017,2,0,2
tc,2018,2,1,1
