owner_acronym,total_entries,total_contracts,total_amendments
ssc,352,251,101
dnd,69,68,1
gac,49,41,8
rcmp,47,46,1
tbs,35,27,8
esdc,34,33,1
ircc,32,26,6
cbsa,28,24,4
ec,27,27,0
dfo,25,20,5
ic,21,20,1
inac,19,18,1
tc,17,15,2
pspc,15,11,4
lac,14,12,2
pco,14,14,0
agr,13,9,4
pc,12,12,0
just,11,9,2
cnsc,11,11,0
pch,10,10,0
nrcan,10,10,0
csps,9,9,0
vac,8,8,0
cfia,7,7,0
cihr,7,5,2
stats,7,6,1
cra,7,7,0
elections,7,7,0
fin,6,6,0
csc,5,5,0
cer,5,5,0
fcac,5,5,0
osgg,4,4,0
isc,4,4,0
osfi,4,2,2
crtc,3,3,0
hc,3,3,0
pptc,3,3,0
infra,3,3,0
wage,2,2,0
opc,2,2,0
cas,2,2,0
irb,2,2,0
acoa,2,2,0
wd,1,1,0
pbc,1,1,0
ps,1,1,0
fintrac,1,1,0
sshrc,1,1,0
ced,1,1,0
atssc,1,1,0
nserc,1,1,0
