owner_acronym,total_entries,total_contracts,total_amendments
dnd,2581,1790,791
ircc,97,78,19
esdc,94,51,43
csc,74,41,33
hc,74,39,35
cra,74,31,43
pptc,61,52,9
isc,61,39,22
gac,52,25,27
pspc,40,23,17
phac,38,25,13
ssc,32,24,8
nrc,30,13,17
cbsa,29,17,12
ic,29,20,9
cnsc,28,17,11
rcmp,24,18,6
dfo,20,10,10
pch,20,17,3
nrcan,19,9,10
tbs,11,5,6
csa,10,5,5
ec,9,6,3
agr,9,4,5
tc,9,6,3
inac,9,9,0
osfi,9,9,0
cfia,7,4,3
vac,6,3,3
cas,5,5,0
atssc,5,5,0
elections,4,3,1
ps,4,4,0
csps,3,3,0
fin,2,2,0
pco,1,1,0
pc,1,1,0
osgg,1,1,0
just,1,1,0
infra,1,1,0
stats,1,1,0
fcac,1,1,0
ppsc,1,1,0
cgc,1,1,0
