owner_acronym,total_entries,total_contracts,total_amendments
dnd,1911,1671,240
pspc,1427,1056,371
csc,1050,719,331
rcmp,1017,831,186
dfo,426,293,133
esdc,406,369,37
ircc,357,305,52
nrc,264,208,56
cra,227,169,58
pc,218,191,27
ec,213,183,30
gac,161,121,40
agr,155,133,22
hc,144,101,43
pptc,143,139,4
just,134,111,23
tc,128,114,14
ssc,121,99,22
nrcan,116,89,27
cbsa,115,97,18
ic,99,84,15
phac,95,77,18
cas,89,79,10
cfia,86,77,9
vac,85,69,16
pco,83,59,24
ppsc,65,62,3
lac,50,50,0
inac,49,45,4
csa,47,40,7
cnsc,39,31,8
pch,32,29,3
stats,29,28,1
osfi,22,19,3
ps,21,21,0
elections,19,14,5
tbs,19,8,11
ced,19,17,2
infra,17,15,2
pbc,15,15,0
fintrac,15,14,1
feddev,15,8,7
acoa,14,13,1
cer,14,11,3
irb,13,11,2
cihr,11,10,1
vrab,10,10,0
csps,7,7,0
cpc,6,4,2
atssc,5,5,0
nserc,3,3,0
nbc,3,3,0
mpcc,3,2,1
psc,3,2,1
fin,1,1,0
iaac,1,1,0
isc,1,1,0
mgerc,1,1,0
