owner_acronym,total_entries,total_contracts,total_amendments
dnd,299,288,11
rcmp,173,161,12
ssc,167,146,21
pc,151,150,1
cra,67,45,22
dfo,58,55,3
ec,53,52,1
gac,47,46,1
ic,40,40,0
pspc,39,33,6
tc,28,28,0
hc,26,26,0
vac,26,22,4
ircc,24,20,4
inac,22,20,2
cbsa,21,20,1
lac,21,19,2
esdc,20,19,1
nrcan,19,19,0
acoa,16,16,0
stats,15,15,0
pco,13,13,0
nrc,12,12,0
just,12,12,0
phac,11,11,0
agr,11,10,1
pptc,11,7,4
cfia,10,10,0
csc,10,8,2
irb,9,9,0
oag,8,8,0
oic,7,7,0
infra,6,6,0
csps,6,5,1
elections,6,6,0
cnsc,5,5,0
csa,5,4,1
psc,5,5,0
tbs,5,5,0
isc,5,5,0
nfb,5,3,2
osgg,4,4,0
feddev,4,2,2
opc,3,2,1
cas,3,3,0
fcac,3,3,0
ps,3,3,0
ijc,3,3,0
cta,2,2,0
fin,2,2,0
osfi,2,2,0
pch,2,2,0
cpc,2,2,0
cgc,2,2,0
cer,2,2,0
atssc,1,1,0
fintrac,1,1,0
ppsc,1,1,0
nserc,1,1,0
