owner_acronym,total_entries,total_contracts,total_amendments
ircc,225,127,98
cra,173,83,90
rcmp,121,33,88
just,119,69,50
gac,68,42,26
pspc,60,42,18
cbsa,56,29,27
dnd,35,22,13
agr,28,17,11
ssc,26,12,14
dfo,17,7,10
ic,15,7,8
tbs,14,10,4
inac,13,7,6
atssc,11,5,6
infra,9,2,7
osfi,8,3,5
phac,7,5,2
vac,7,1,6
tc,7,3,4
esdc,7,7,0
fcac,7,5,2
hc,7,5,2
pc,7,2,5
cihr,5,4,1
stats,5,5,0
psc,4,4,0
pco,4,2,2
nserc,3,3,0
ced,3,2,1
sshrc,3,3,0
cfia,2,1,1
nrcan,2,2,0
ppsc,2,1,1
lac,2,2,0
csa,2,2,0
ps,1,1,0
elections,1,1,0
cnsc,1,1,0
csc,1,1,0
