owner_acronym,total_entries,total_contracts,total_amendments
pc,152,149,3
pspc,129,119,10
cra,128,108,20
hc,110,89,21
vac,103,85,18
dnd,85,82,3
esdc,73,69,4
phac,65,57,8
ircc,64,51,13
ps,58,55,3
agr,37,33,4
fin,36,30,6
nrcan,35,32,3
ic,34,32,2
pch,25,20,5
gac,24,20,4
rcmp,23,21,2
cfia,17,15,2
stats,17,17,0
fcac,16,13,3
tc,11,11,0
nrc,9,9,0
ec,9,9,0
dfo,8,8,0
just,7,6,1
cta,7,7,0
acoa,5,5,0
crtc,5,4,1
inac,4,4,0
cbsa,3,3,0
pptc,3,3,0
isc,3,3,0
pco,2,2,0
ced,2,1,1
ssc,2,2,0
atssc,1,1,0
infra,1,1,0
elections,1,1,0
nfb,1,1,0
