owner_acronym,total_entries,total_contracts,total_amendments
esdc,156,118,38
cbsa,90,72,18
pspc,70,54,16
ic,69,47,22
gac,68,59,9
cra,49,29,20
oag,46,44,2
dnd,42,29,13
nrc,41,25,16
tbs,40,33,7
nrcan,40,30,10
ssc,37,24,13
inac,36,26,10
agr,35,21,14
pch,33,26,7
dfo,32,27,5
hc,28,25,3
ec,25,22,3
phac,22,19,3
cc,21,21,0
feddev,21,14,7
tc,18,12,6
ps,14,14,0
fja,13,13,0
ircc,13,10,3
cnsc,11,11,0
stats,11,11,0
fcac,10,10,0
pco,10,10,0
rcmp,9,7,2
infra,9,6,3
acoa,8,8,0
csa,8,8,0
cfia,8,8,0
just,8,8,0
osfi,7,5,2
fin,5,5,0
csps,5,3,2
cihr,5,2,3
pc,5,4,1
ced,5,4,1
psc,4,4,0
lac,3,3,0
elections,3,2,1
cas,3,2,1
vac,2,2,0
opc,2,2,0
nserc,1,1,0
isc,1,1,0
nfb,1,1,0
wd,1,1,0
psic,1,1,0
fintrac,1,1,0
irb,1,1,0
