owner_acronym,total_entries,total_contracts,total_amendments
esdc,228,104,124
pspc,53,35,18
gac,48,38,10
agr,38,29,9
ic,35,26,9
oag,25,20,5
cra,20,14,6
ircc,19,16,3
pch,19,19,0
nrcan,19,11,8
dnd,17,15,2
tbs,17,15,2
inac,14,9,5
cer,13,7,6
feddev,11,9,2
tc,11,9,2
dfo,10,9,1
cbsa,10,4,6
just,8,3,5
fcac,7,7,0
csc,7,4,3
nserc,6,4,2
infra,6,5,1
ssc,5,4,1
fja,5,4,1
nrc,4,3,1
cfia,4,4,0
cihr,4,3,1
fin,4,3,1
nbc,3,3,0
rcmp,3,3,0
osfi,2,2,0
csps,2,2,0
hc,2,1,1
cnsc,2,2,0
phac,2,1,1
pc,2,2,0
ps,2,2,0
stats,1,1,0
ced,1,1,0
cannor,1,1,0
acoa,1,1,0
lac,1,1,0
isc,1,1,0
ec,1,1,0
pco,1,1,0
ppsc,1,1,0
pptc,1,1,0
psic,1,1,0
