owner_acronym,total_entries,total_contracts,total_amendments
hc,580,414,166
phac,524,378,146
ircc,449,256,193
ic,417,242,175
dnd,406,332,74
gac,365,219,146
ec,345,211,134
dfo,238,146,92
pspc,205,136,69
nrcan,186,132,54
cra,168,85,83
nrc,157,73,84
pc,106,74,32
tc,102,83,19
ssc,100,60,40
pptc,86,63,23
cnsc,81,47,34
inac,80,51,29
pch,79,42,37
esdc,71,68,3
tbs,52,29,23
infra,48,44,4
pco,47,35,12
ps,43,38,5
csc,38,36,2
cfia,37,27,10
lac,35,19,16
just,32,24,8
agr,31,21,10
fja,28,19,9
fin,25,14,11
psc,21,15,6
osfi,19,7,12
cas,19,11,8
cbsa,18,13,5
elections,17,12,5
swc,15,14,1
csps,15,14,1
stats,14,14,0
rcmp,14,6,8
ppsc,13,9,4
isc,12,10,2
wage,10,9,1
iaac,10,6,4
nserc,9,4,5
oic,8,6,2
crtc,8,8,0
chrc,8,7,1
cpc,7,6,1
cihr,7,4,3
vac,6,4,2
fintrac,6,6,0
feddev,6,2,4
fcac,6,3,3
cta,6,4,2
opc,5,5,0
ocl,4,3,1
atssc,4,4,0
csa,4,4,0
oto,4,3,1
cc,3,3,0
irb,3,3,0
acoa,2,2,0
oag,2,1,1
mgerc,2,1,1
psic,2,1,1
sshrc,2,2,0
ocol,2,2,0
tsb,1,1,0
pbc,1,1,0
pmprb,1,1,0
