owner_acronym,total_entries,total_contracts,total_amendments
pspc,152,136,16
tbs,108,103,5
dnd,99,94,5
esdc,95,91,4
ssc,87,77,10
cra,66,63,3
ircc,65,61,4
cbsa,59,56,3
rcmp,52,50,2
ic,50,49,1
cfia,36,36,0
gac,34,32,2
hc,25,24,1
nrc,22,19,3
ec,21,20,1
agr,20,20,0
stats,20,20,0
tc,20,19,1
cnsc,19,19,0
lac,19,18,1
just,19,15,4
dfo,18,16,2
pptc,17,17,0
phac,17,17,0
csc,16,16,0
psc,15,14,1
nrcan,15,15,0
infra,14,13,1
nserc,11,11,0
ced,11,11,0
elections,11,11,0
inac,10,10,0
vac,9,9,0
fintrac,9,9,0
ps,9,8,1
pc,9,9,0
pch,8,8,0
osfi,6,6,0
feddev,6,5,1
oag,6,6,0
cihr,5,5,0
fcac,5,5,0
csa,4,4,0
csps,4,4,0
atssc,4,4,0
crtc,3,3,0
pco,3,3,0
ppsc,3,3,0
cta,2,2,0
chrc,2,2,0
acoa,2,2,0
isc,2,2,0
mgerc,2,2,0
oic,2,2,0
opc,2,2,0
ocol,1,1,0
irb,1,1,0
fin,1,1,0
wage,1,1,0
