owner_acronym,total_entries,total_contracts,total_amendments
ssc,453,294,159
agr,411,179,232
rcmp,233,188,45
esdc,166,165,1
cra,154,52,102
dnd,146,97,49
pspc,135,88,47
ic,98,69,29
cbsa,67,43,24
dfo,67,56,11
gac,66,56,10
phac,65,60,5
hc,63,59,4
ec,41,41,0
ircc,39,28,11
stats,37,36,1
tbs,34,24,10
cfia,30,29,1
vac,26,23,3
cnsc,24,23,1
inac,23,22,1
pc,21,13,8
csc,21,14,7
elections,17,13,4
ps,15,15,0
nrc,12,12,0
infra,11,10,1
pptc,11,6,5
psc,11,10,1
nrcan,10,7,3
cihr,8,7,1
just,8,8,0
osfi,8,6,2
pco,6,6,0
csps,6,3,3
pch,6,4,2
csa,5,4,1
nserc,5,4,1
atssc,5,2,3
fintrac,5,5,0
isc,4,4,0
nfb,4,4,0
lac,3,3,0
cgc,3,3,0
cas,3,3,0
ccohs,2,2,0
ppsc,2,2,0
tc,2,1,1
cpc,1,1,0
fin,1,1,0
crtc,1,1,0
oag,1,1,0
