owner_acronym,source_year,total_entries,total_contracts,total_amendments
agr,2019,8,7,1
csc,2015,22,22,0
csc,2016,30,28,2
csc,2017,12,11,1
csc,2018,4,2,2
csc,2019,32,32,0
dfo,2010,90,87,3
dfo,2011,118,114,4
dfo,2012,128,120,8
dfo,2013,140,136,4
dfo,2014,79,77,2
dfo,2015,67,67,0
dfo,2016,147,144,3
dfo,2017,174,173,1
dfo,2018,171,170,1
dfo,2019,157,154,3
dnd,2010,39,38,1
dnd,2011,34,34,0
dnd,2012,118,118,0
dnd,2013,196,196,0
dnd,2014,74,73,1
dnd,2015,77,76,1
dnd,2016,95,95,0
dnd,2017,206,204,2
dnd,2018,225,223,2
dnd,2019,206,198,8
nrc,2017,1,1,0
nrcan,2012,1,1,0
pc,2013,2,2,0
pc,2014,5,5,0
pc,2015,5,5,0
pc,2016,4,4,0
pc,2017,2,2,0
pc,2019,7,6,1
tc,2012,12,12,0
tc,2013,13,13,0
tc,2014,7,7,0
tc,2015,5,5,0
tc,2016,7,5,2
tc,2017,8,6,2
tc,2018,5,4,1
tc,2019,4,4,0
