owner_acronym,total_entries,total_contracts,total_amendments
dnd,580,562,18
ssc,410,355,55
nrcan,61,60,1
ps,54,53,1
cra,40,27,13
gac,35,33,2
ic,34,32,2
ec,30,30,0
rcmp,28,25,3
dfo,25,25,0
pspc,22,22,0
tbs,20,18,2
nrc,18,18,0
pch,17,16,1
cnsc,17,17,0
ircc,17,13,4
fja,16,16,0
cbsa,14,14,0
osfi,13,11,2
tc,12,12,0
atssc,10,10,0
oag,9,9,0
cihr,9,9,0
nserc,8,8,0
csps,7,7,0
csa,7,7,0
phac,7,7,0
psc,6,6,0
cas,6,6,0
hc,6,6,0
lac,5,5,0
ocl,5,5,0
mgerc,4,4,0
opc,4,4,0
esdc,4,4,0
pco,4,4,0
agr,4,4,0
pc,3,3,0
inac,2,2,0
cgc,2,2,0
oic,2,2,0
osgg,2,2,0
cpc,1,1,0
sirc,1,1,0
fin,1,1,0
csc,1,1,0
iaac,1,1,0
wage,1,1,0
pptc,1,1,0
cfia,1,1,0
