owner_acronym,total_entries,total_contracts,total_amendments
cra,527,191,336
ircc,173,105,68
ic,151,65,86
rcmp,121,54,67
dnd,111,75,36
esdc,90,90,0
pspc,51,40,11
dfo,33,21,12
just,27,7,20
lac,24,9,15
cer,19,13,6
cbsa,18,12,6
cnsc,16,10,6
cta,14,1,13
ssc,14,5,9
gac,13,9,4
hc,13,10,3
ec,12,8,4
phac,12,10,2
psc,9,4,5
ps,8,6,2
nrc,7,2,5
pc,7,2,5
tbs,6,3,3
nrcan,6,6,0
cfia,6,3,3
pptc,5,5,0
elections,4,4,0
vac,3,2,1
csc,3,1,2
agr,3,1,2
pco,2,2,0
ppsc,2,1,1
csps,1,1,0
chrc,1,1,0
tc,1,1,0
stats,1,1,0
fin,1,1,0
