owner_acronym,source_year,total_entries,total_contracts,total_amendments
agr,2013,2,2,0
agr,2017,1,1,0
agr,2018,2,2,0
atssc,2016,1,1,0
atssc,2017,2,1,1
cbsa,2014,2,2,0
cbsa,2015,3,3,0
cbsa,2016,6,5,1
cbsa,2017,41,26,15
cbsa,2018,13,2,11
cbsa,2019,8,5,3
cc,2010,1,1,0
cc,2011,1,1,0
cc,2012,1,1,0
cer,2015,1,1,0
cer,2016,3,3,0
cer,2017,1,0,1
cfia,2012,2,1,1
cfia,2015,2,1,1
cfia,2016,3,0,3
cfia,2018,3,1,2
cfia,2019,2,0,2
cihr,2016,1,1,0
cnsc,2010,9,5,4
cnsc,2011,1,1,0
cnsc,2012,2,1,1
cnsc,2013,1,1,0
cnsc,2014,2,1,1
cnsc,2015,2,0,2
cnsc,2016,2,1,1
cnsc,2017,1,0,1
cnsc,2018,3,1,2
cra,2010,32,19,13
cra,2011,92,36,56
cra,2012,145,60,85
cra,2013,101,49,52
cra,2014,60,38,22
cra,2015,36,31,5
cra,2016,112,44,68
cra,2017,153,31,122
cra,2018,65,10,55
cra,2019,18,5,13
csc,2015,1,1,0
csc,2017,1,1,0
csps,2014,2,2,0
csps,2015,1,0,1
cta,2017,1,1,0
dfo,2010,1,1,0
dfo,2012,1,1,0
dfo,2013,15,8,7
dfo,2015,2,2,0
dfo,2016,3,1,2
dfo,2017,2,0,2
dfo,2018,2,1,1
dfo,2019,3,1,2
dnd,2010,2,2,0
dnd,2011,2,1,1
dnd,2012,13,10,3
dnd,2013,20,19,1
dnd,2014,3,3,0
dnd,2015,8,8,0
dnd,2016,2,2,0
dnd,2017,25,19,6
dnd,2018,12,8,4
ec,2010,7,6,1
ec,2011,7,6,1
ec,2012,9,7,2
ec,2013,11,8,3
ec,2014,14,12,2
ec,2015,7,5,2
ec,2016,4,3,1
ec,2017,2,2,0
ec,2018,2,0,2
ec,2019,1,0,1
elections,2018,1,1,0
elections,2019,1,1,0
esdc,2010,1,1,0
esdc,2011,1,1,0
esdc,2013,1,1,0
esdc,2015,15,15,0
esdc,2016,6,5,1
esdc,2017,13,5,8
esdc,2018,38,8,30
esdc,2019,57,24,33
fintrac,2013,1,1,0
fintrac,2019,2,1,1
gac,2010,3,3,0
gac,2011,5,4,1
gac,2012,14,6,8
gac,2013,11,3,8
gac,2014,13,5,8
gac,2015,8,5,3
gac,2016,7,5,2
gac,2017,5,2,3
gac,2018,4,0,4
gac,2019,6,3,3
hc,2013,2,2,0
hc,2014,6,4,2
hc,2016,4,3,1
hc,2017,4,3,1
hc,2018,2,1,1
iaac,2016,1,1,0
ic,2010,3,2,1
ic,2011,4,2,2
ic,2013,3,2,1
ic,2014,7,5,2
ic,2015,3,3,0
ic,2016,1,0,1
ic,2017,1,1,0
ic,2018,12,12,0
ic,2019,10,1,9
inac,2016,1,1,0
inac,2017,1,1,0
ircc,2010,5,4,1
ircc,2011,2,1,1
ircc,2012,8,5,3
ircc,2013,12,10,2
ircc,2014,23,18,5
ircc,2015,24,20,4
ircc,2016,39,24,15
ircc,2017,31,16,15
ircc,2018,38,23,15
ircc,2019,49,25,24
isc,2017,1,1,0
just,2011,3,3,0
just,2013,2,2,0
just,2014,1,0,1
just,2015,2,2,0
nfb,2017,1,1,0
nfb,2018,1,1,0
nrc,2010,1,0,1
nrc,2012,1,1,0
nrc,2013,6,4,2
nrc,2014,4,2,2
nrc,2015,4,2,2
nrc,2016,2,0,2
nrc,2017,3,2,1
nrcan,2011,1,1,0
nrcan,2012,3,3,0
nrcan,2015,1,1,0
nrcan,2017,2,1,1
nrcan,2018,1,1,0
nrcan,2019,1,1,0
osfi,2016,1,1,0
osfi,2017,3,0,3
osgg,2018,1,1,0
oto,2014,1,1,0
pbc,2012,3,3,0
pc,2010,3,1,2
pc,2011,2,2,0
pc,2012,1,1,0
pc,2014,1,1,0
pc,2015,1,1,0
pco,2019,1,1,0
phac,2013,2,2,0
phac,2014,6,4,2
phac,2016,4,3,1
phac,2017,2,2,0
ppsc,2013,1,1,0
ppsc,2014,2,1,1
ppsc,2016,1,1,0
ps,2010,3,3,0
ps,2011,2,2,0
ps,2012,1,1,0
ps,2014,3,3,0
ps,2015,1,1,0
psc,2018,1,1,0
psc,2019,1,0,1
pspc,2010,7,5,2
pspc,2011,8,4,4
pspc,2012,2,1,1
pspc,2013,7,5,2
pspc,2014,7,6,1
pspc,2015,6,4,2
pspc,2016,4,4,0
pspc,2017,1,1,0
pspc,2018,2,2,0
pspc,2019,1,0,1
rcmp,2010,1,1,0
rcmp,2011,1,0,1
rcmp,2012,2,1,1
ssc,2012,1,1,0
ssc,2013,9,9,0
ssc,2014,9,3,6
ssc,2015,6,0,6
ssc,2016,2,1,1
ssc,2017,3,1,2
ssc,2018,1,0,1
ssc,2019,1,1,0
tbs,2010,3,3,0
tbs,2011,1,0,1
tbs,2012,2,1,1
tbs,2013,3,1,2
tbs,2017,1,1,0
tbs,2018,4,4,0
tbs,2019,1,1,0
tc,2011,1,1,0
tc,2013,2,2,0
tc,2014,4,2,2
tc,2016,2,1,1
tc,2018,1,1,0
tc,2019,1,1,0
vac,2015,1,1,0
vac,2017,2,1,1
