owner_acronym,total_entries,total_contracts,total_amendments
cra,814,323,491
ircc,231,146,85
esdc,132,60,72
dnd,87,72,15
gac,76,36,40
cbsa,73,43,30
ec,64,49,15
pspc,45,32,13
ic,44,28,16
ssc,32,16,16
dfo,29,15,14
cnsc,23,11,12
nrc,21,11,10
hc,18,13,5
tbs,15,11,4
phac,14,11,3
cfia,12,3,9
tc,11,8,3
ps,10,10,0
nrcan,9,8,1
pc,8,6,2
just,8,7,1
cer,5,4,1
agr,5,5,0
ppsc,4,3,1
rcmp,4,2,2
osfi,4,1,3
vac,3,2,1
atssc,3,2,1
cc,3,3,0
csps,3,2,1
fintrac,3,2,1
pbc,3,3,0
nfb,2,2,0
elections,2,2,0
psc,2,1,1
csc,2,2,0
inac,2,2,0
cta,1,1,0
oto,1,1,0
cihr,1,1,0
pco,1,1,0
osgg,1,1,0
isc,1,1,0
iaac,1,1,0
