owner_acronym,source_year,total_entries,total_contracts,total_amendments
dfo,2010,17,14,3
dfo,2011,7,7,0
dfo,2019,4,2,2
dnd,2010,386,268,118
dnd,2011,152,152,0
dnd,2012,166,157,9
dnd,2013,130,129,1
dnd,2014,38,38,0
dnd,2015,43,43,0
dnd,2016,54,54,0
dnd,2017,340,320,20
dnd,2018,786,772,14
dnd,2019,204,203,1
ec,2016,1,1,0
nrc,2015,2,2,0
nrc,2019,1,1,0
nrcan,2017,1,1,0
rcmp,2012,2,1,1
rcmp,2013,1,0,1
rcmp,2014,4,3,1
rcmp,2016,4,4,0
rcmp,2017,1,0,1
rcmp,2018,1,1,0
rcmp,2019,3,0,3
tc,2011,4,2,2
tc,2015,1,1,0
tc,2016,2,2,0
tc,2017,1,1,0
tc,2018,1,1,0
tc,2019,1,1,0
