owner_acronym,total_entries,total_contracts,total_amendments
esdc,726,312,414
rcmp,317,104,213
dfo,161,93,68
gac,124,67,57
cbsa,84,56,28
cra,82,37,45
ircc,66,41,25
ic,65,30,35
pspc,54,39,15
dnd,50,38,12
tc,47,25,22
hc,41,22,19
cnsc,38,16,22
ssc,34,19,15
phac,29,16,13
cer,21,13,8
cfia,14,6,8
lac,12,7,5
ec,12,9,3
inac,12,8,4
agr,9,4,5
just,9,6,3
tbs,8,5,3
osfi,8,2,6
stats,8,8,0
pc,7,3,4
nrcan,6,3,3
elections,5,4,1
psc,5,3,2
fin,5,2,3
iaac,4,2,2
pch,4,1,3
ocl,3,1,2
csps,3,2,1
cihr,3,1,2
osgg,3,2,1
pco,3,3,0
infra,2,1,1
nrc,2,2,0
ppsc,2,1,1
irb,2,2,0
ps,1,1,0
nserc,1,1,0
vac,1,1,0
atssc,1,1,0
crtc,1,1,0
