owner_acronym,total_entries,total_contracts,total_amendments
rcmp,276,270,6
ssc,245,226,19
dnd,128,126,2
ic,56,54,2
ec,41,41,0
just,23,23,0
cbsa,20,19,1
tc,19,19,0
fcac,18,18,0
hc,12,12,0
dfo,12,12,0
feddev,12,6,6
csc,10,8,2
pc,8,8,0
gac,7,6,1
osfi,7,6,1
esdc,7,7,0
cra,7,4,3
pspc,6,5,1
agr,6,6,0
nrcan,5,5,0
cfia,5,4,1
cpc,4,4,0
stats,3,3,0
inac,3,3,0
phac,3,3,0
lac,3,3,0
nrc,3,3,0
osgg,3,3,0
ps,2,2,0
psc,2,2,0
pch,2,2,0
cihr,2,2,0
cas,1,1,0
csps,1,1,0
opc,1,1,0
ppsc,1,1,0
acoa,1,1,0
ced,1,1,0
ccohs,1,1,0
swc,1,1,0
fin,1,1,0
