owner_acronym,total_entries,total_contracts,total_amendments
ssc,652,462,190
rcmp,217,197,20
cra,213,204,9
pspc,179,149,30
dnd,153,146,7
esdc,81,80,1
dfo,56,37,19
osfi,49,45,4
tc,39,37,2
ircc,35,30,5
gac,34,33,1
pc,33,33,0
cas,30,29,1
csc,26,25,1
ec,18,18,0
pco,17,17,0
tbs,15,14,1
phac,14,14,0
hc,14,14,0
csps,14,14,0
cnsc,13,13,0
ced,12,12,0
fin,11,9,2
ps,11,10,1
cbsa,10,9,1
ic,9,9,0
nrc,7,7,0
just,7,7,0
pbc,7,7,0
nrcan,5,5,0
pch,5,5,0
crtc,4,4,0
inac,4,4,0
csa,3,3,0
oag,3,3,0
vac,3,3,0
agr,2,1,1
ppsc,1,1,0
nfb,1,1,0
psc,1,1,0
cics,1,1,0
cfia,1,1,0
stats,1,1,0
atssc,1,1,0
