owner_acronym,total_entries,total_contracts,total_amendments
ssc,856,733,123
pspc,103,97,6
ec,69,66,3
dnd,60,51,9
stats,54,54,0
dfo,37,28,9
ic,29,28,1
tbs,28,25,3
nrcan,22,17,5
ps,22,22,0
ircc,22,18,4
rcmp,20,20,0
elections,16,15,1
nrc,16,13,3
hc,15,14,1
osfi,13,10,3
psc,11,11,0
vac,10,10,0
csc,9,9,0
phac,9,8,1
just,9,6,3
esdc,9,9,0
cra,8,5,3
cnsc,8,8,0
fintrac,7,7,0
lac,7,3,4
tc,7,7,0
csa,6,1,5
pch,6,6,0
cfia,5,5,0
atssc,4,4,0
cihr,4,4,0
gac,4,4,0
pco,3,3,0
fin,3,3,0
pptc,2,1,1
oag,1,1,0
cbsa,1,1,0
crtc,1,1,0
