owner_acronym,source_year,total_entries,total_contracts,total_amendments
cra,2011,1,1,0
csa,2012,1,1,0
csa,2017,1,1,0
csa,2018,1,1,0
csa,2019,1,0,1
dfo,2012,2,2,0
dfo,2013,2,1,1
dfo,2014,2,1,1
dfo,2015,3,1,2
dfo,2017,1,1,0
dfo,2018,2,1,1
dfo,2019,8,3,5
dnd,2010,40,28,12
dnd,2011,45,33,12
dnd,2012,19,11,8
dnd,2013,22,18,4
dnd,2014,14,12,2
dnd,2015,19,15,4
dnd,2016,16,9,7
dnd,2017,13,13,0
dnd,2018,22,22,0
dnd,2019,15,11,4
nrc,2012,1,1,0
nrc,2013,2,2,0
nrc,2014,2,2,0
nrc,2015,2,2,0
nrc,2016,1,1,0
nrc,2017,4,4,0
nrc,2018,2,2,0
nrc,2019,2,2,0
rcmp,2016,2,2,0
rcmp,2017,2,2,0
ssc,2012,4,2,2
ssc,2013,1,1,0
ssc,2017,4,4,0
ssc,2018,3,3,0
tc,2013,1,1,0
tc,2016,1,1,0
