owner_acronym,total_entries,total_contracts,total_amendments
ec,134,130,4
ssc,105,43,62
dnd,69,50,19
ircc,64,45,19
esdc,63,39,24
pspc,26,16,10
tc,25,20,5
dfo,18,14,4
just,14,11,3
agr,13,10,3
osfi,13,4,9
cbsa,11,7,4
ic,11,9,2
tbs,11,6,5
rcmp,8,4,4
cnsc,8,4,4
lac,7,6,1
stats,7,7,0
psc,6,4,2
pco,6,6,0
pptc,5,4,1
cfia,5,4,1
hc,4,4,0
gac,4,4,0
phac,4,4,0
elections,3,2,1
fcac,3,2,1
ppsc,3,3,0
csps,3,2,1
infra,2,1,1
fintrac,2,2,0
fin,2,2,0
csa,2,2,0
nrcan,2,2,0
vac,2,2,0
atssc,2,2,0
chrc,1,1,0
pmprb,1,1,0
ocl,1,1,0
ps,1,1,0
opc,1,1,0
pc,1,1,0
