owner_acronym,total_entries,total_contracts,total_amendments
dnd,651,389,262
dfo,140,82,58
ec,10,6,4
ssc,9,3,6
cra,6,3,3
pspc,6,5,1
tc,3,2,1
ircc,3,2,1
just,3,1,2
vac,2,2,0
cfia,2,1,1
nrcan,1,1,0
stats,1,1,0
cnsc,1,1,0
cas,1,1,0
